"N","Time","avg(X)","avg(Y)","avg(Z)","avg(u)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(u)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(u)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(u)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(u)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(u)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(u)","std(vtkOriginalPointIds)","sum(X)","sum(Y)","sum(Z)","sum(u)","sum(vtkOriginalPointIds)","vtkValidPointMask"
1,47,0,0.15625,0.28125,0.3944,774,0,0.15625,0.28125,0.3944,774,0,0.15625,0.28125,0.3944,774,0,0.15625,0.28125,0.3944,774,0,0.15625,0.28125,0.3944,774,0,0.15625,0.28125,0.3944,774,0,0,0,0,0,0,0.15625,0.28125,0.3944,774,
1,48,0,0.15625,0.28125,0.35656,774,0,0.15625,0.28125,0.35656,774,0,0.15625,0.28125,0.35656,774,0,0.15625,0.28125,0.35656,774,0,0.15625,0.28125,0.35656,774,0,0.15625,0.28125,0.35656,774,0,0,0,0,0,0,0.15625,0.28125,0.35656,774,
1,49,0,0.15625,0.28125,0.33418,774,0,0.15625,0.28125,0.33418,774,0,0.15625,0.28125,0.33418,774,0,0.15625,0.28125,0.33418,774,0,0.15625,0.28125,0.33418,774,0,0.15625,0.28125,0.33418,774,0,0,0,0,0,0,0.15625,0.28125,0.33418,774,
1,50,0,0.15625,0.28125,0.31645,774,0,0.15625,0.28125,0.31645,774,0,0.15625,0.28125,0.31645,774,0,0.15625,0.28125,0.31645,774,0,0.15625,0.28125,0.31645,774,0,0.15625,0.28125,0.31645,774,0,0,0,0,0,0,0.15625,0.28125,0.31645,774,
1,51,0,0.15625,0.28125,0.30173,774,0,0.15625,0.28125,0.30173,774,0,0.15625,0.28125,0.30173,774,0,0.15625,0.28125,0.30173,774,0,0.15625,0.28125,0.30173,774,0,0.15625,0.28125,0.30173,774,0,0,0,0,0,0,0.15625,0.28125,0.30173,774,
1,52,0,0.15625,0.28125,0.28921,774,0,0.15625,0.28125,0.28921,774,0,0.15625,0.28125,0.28921,774,0,0.15625,0.28125,0.28921,774,0,0.15625,0.28125,0.28921,774,0,0.15625,0.28125,0.28921,774,0,0,0,0,0,0,0.15625,0.28125,0.28921,774,
1,53,0,0.15625,0.28125,0.27839,774,0,0.15625,0.28125,0.27839,774,0,0.15625,0.28125,0.27839,774,0,0.15625,0.28125,0.27839,774,0,0.15625,0.28125,0.27839,774,0,0.15625,0.28125,0.27839,774,0,0,0,0,0,0,0.15625,0.28125,0.27839,774,
1,54,0,0.15625,0.28125,0.26889,774,0,0.15625,0.28125,0.26889,774,0,0.15625,0.28125,0.26889,774,0,0.15625,0.28125,0.26889,774,0,0.15625,0.28125,0.26889,774,0,0.15625,0.28125,0.26889,774,0,0,0,0,0,0,0.15625,0.28125,0.26889,774,
1,55,0,0.15625,0.28125,0.26044,774,0,0.15625,0.28125,0.26044,774,0,0.15625,0.28125,0.26044,774,0,0.15625,0.28125,0.26044,774,0,0.15625,0.28125,0.26044,774,0,0.15625,0.28125,0.26044,774,0,0,0,0,0,0,0.15625,0.28125,0.26044,774,
1,56,0,0.15625,0.28125,0.25287,774,0,0.15625,0.28125,0.25287,774,0,0.15625,0.28125,0.25287,774,0,0.15625,0.28125,0.25287,774,0,0.15625,0.28125,0.25287,774,0,0.15625,0.28125,0.25287,774,0,0,0,0,0,0,0.15625,0.28125,0.25287,774,
1,57,0,0.15625,0.28125,0.24601,774,0,0.15625,0.28125,0.24601,774,0,0.15625,0.28125,0.24601,774,0,0.15625,0.28125,0.24601,774,0,0.15625,0.28125,0.24601,774,0,0.15625,0.28125,0.24601,774,0,0,0,0,0,0,0.15625,0.28125,0.24601,774,
1,58,0,0.15625,0.28125,0.23976,774,0,0.15625,0.28125,0.23976,774,0,0.15625,0.28125,0.23976,774,0,0.15625,0.28125,0.23976,774,0,0.15625,0.28125,0.23976,774,0,0.15625,0.28125,0.23976,774,0,0,0,0,0,0,0.15625,0.28125,0.23976,774,
1,59,0,0.15625,0.28125,0.23404,774,0,0.15625,0.28125,0.23404,774,0,0.15625,0.28125,0.23404,774,0,0.15625,0.28125,0.23404,774,0,0.15625,0.28125,0.23404,774,0,0.15625,0.28125,0.23404,774,0,0,0,0,0,0,0.15625,0.28125,0.23404,774,
1,60,0,0.15625,0.28125,0.22876,774,0,0.15625,0.28125,0.22876,774,0,0.15625,0.28125,0.22876,774,0,0.15625,0.28125,0.22876,774,0,0.15625,0.28125,0.22876,774,0,0.15625,0.28125,0.22876,774,0,0,0,0,0,0,0.15625,0.28125,0.22876,774,
1,61,0,0.15625,0.28125,0.22389,774,0,0.15625,0.28125,0.22389,774,0,0.15625,0.28125,0.22389,774,0,0.15625,0.28125,0.22389,774,0,0.15625,0.28125,0.22389,774,0,0.15625,0.28125,0.22389,774,0,0,0,0,0,0,0.15625,0.28125,0.22389,774,
1,62,0,0.15625,0.28125,0.21936,774,0,0.15625,0.28125,0.21936,774,0,0.15625,0.28125,0.21936,774,0,0.15625,0.28125,0.21936,774,0,0.15625,0.28125,0.21936,774,0,0.15625,0.28125,0.21936,774,0,0,0,0,0,0,0.15625,0.28125,0.21936,774,
