time_ms,Vm_mV
8.534918,27.195059
8.539807,27.193995
8.545673,27.192725
8.552713,27.191209
8.561160,27.189403
8.571297,27.187253
8.583462,27.184700
8.584922,27.184395
8.586673,27.184031
8.588775,27.183594
8.591298,27.183070
8.594325,27.182444
8.597957,27.181694
8.602316,27.180799
8.607546,27.179728
8.613823,27.178451
8.621355,27.176928
8.630393,27.175114
8.641239,27.172958
8.654254,27.170400
8.669873,27.167373
8.671747,27.167012
8.673996,27.166581
8.676695,27.166065
8.679933,27.165447
8.683820,27.164708
8.688483,27.163825
8.694079,27.162770
8.700795,27.161513
8.708854,27.160015
8.718524,27.158233
8.730129,27.156118
8.744054,27.153612
8.745725,27.153313
8.747730,27.152956
8.750137,27.152528
8.753024,27.152016
8.756489,27.151404
8.760647,27.150672
8.765637,27.149798
8.771625,27.148754
8.778810,27.147511
8.787432,27.146032
8.797779,27.144274
8.810195,27.142190
8.811685,27.141942
8.813473,27.141645
8.815618,27.141289
8.818193,27.140862
8.821282,27.140353
8.824990,27.139743
8.829439,27.139015
8.834777,27.138146
8.841184,27.137109
8.848871,27.135875
8.858096,27.134408
8.869167,27.132667
8.882451,27.130607
8.898392,27.128175
8.900305,27.127886
8.902601,27.127540
8.905355,27.127126
8.908661,27.126632
8.912628,27.126040
8.917388,27.125335
8.923100,27.124493
8.929954,27.123490
8.938179,27.122298
8.948050,27.120882
8.959894,27.119205
8.961315,27.119005
8.963021,27.118766
8.965068,27.118480
8.967524,27.118137
8.970471,27.117728
8.974008,27.117238
8.978252,27.116653
8.983345,27.115955
8.989456,27.115124
8.996790,27.114134
9.005590,27.112959
